BMS-ID,AreaNum,OwnerCode,LocationID,,ID,X,Y,AMGX,AMGY,GrpNum,DetNum,Zone,ExitDist,RegionID,Suburb,EnableLogging,VersionNumber,Comment,ApplyThreshHold,ThreshHold,ArrivalLagTime,st1,st2,st3,typ,mnt,sub,lin,ind,con,dwg,cto,cmn,lmn,dmn,atf,ccd,pri,seq,link,vid_site,at,atd,volocc,at_st,at_fi,lcmVers,IntGrpNo,Approaches,Patching,Cost
10001,B0001,B,1,#N/A,1,153.0206,-27.4679,502033,6961733,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC City MUX Ann/George,N,NULL,0,George Street,Tank Street,NULL,1,B,2,9,11/10/1976,25,S875/2,L,Y,Y,Y,Y,18/11/1996,,5,,N,ALL,4/04/1990,Y,7:00:00,21:00:00,L,0,2,,1
10002,B0002,B,1674,#N/A,1674,153.022077,-27.469399,502178,6961567,NULL,NULL,NULL,0,2,CITY,Y,1249568143,Yneg auto intro peds BCC City MUX Ann/George  SCATS not STREAMS PILOT,N,NULL,0,ANN ST,GEORGE ST,NULL,1,B,2,11,18/01/1960,25,S502,L,Y,Y,Y,Y,14/11/1996,,7,,Y,1/9/86 Across Ann St. - Northern side.  10/7/90 the remainder,10/07/1990,Y,1:00:00,1:00:00,L,0,2,,1
10003,B0003,B,3,#N/A,3,153.023736,-27.468108,502342,6961710,NULL,NULL,NULL,0,2,CITY,Y,1249568143,P3(6) across Ann northern side pneg term walk  STREAMS PILOT BCC City MUX Ann/George P3(6) 6sec clear 1 Yneg auto intro Peds,N,NULL,0,ANN ST,ROMA ST,NULL,1,B,2,19,11/01/1936,25,T3/344,L,Y,Y,Y,Y,7/08/1996,,13,,Y,Both crossings across Ann St,1/09/1986,Y,7:00:00,21:00:00,L,0,3,,1
10004,B0004,B,4,#N/A,4,153.025435,-27.466789,502510,6961855,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC City MUX Ann/George  SCATS not STREAMS PILOT,N,NULL,0,ANN ST,EDWARD ST,NULL,1,B,2,29,20/01/1960,25,S503/2,L,Y,Y,Y,Y,27/04/1997,,19,,Y,Across Ann St Northern Side & Edward St Eastern Side,1/09/1986,Y,7:00:00,21:00:00,L,0,2,,1
10005,B0005,B,5,#N/A,5,153.026305,-27.466121,502596,6961929,NULL,NULL,NULL,0,2,CITY,Y,1249568143,YNEG Recalls Ped BCC City MUX Ann/George,N,NULL,0,ANN ST PED AT,CENTRAL STATION,NULL,2,B,2,36,24/01/1960,25,S504/3,L,Y,Y,Y,Y,22/09/2004,,24,,N,Ped. Crossing,6/11/1989,Y,1:00:00,1:00:00,L,0,1,,1
10006,B0006,B,6,#N/A,6,153.027165,-27.465462,502681,6962002,NULL,NULL,NULL,0,2,CITY,Y,1249568143,A/T hardwired BCC City MUX Ann/George SCATS not STREAMS PILOT,N,NULL,0,ANN ST,CREEK ST,NULL,1,B,2,38,23/01/1960,25,S505,L,Y,Y,Y,Y,17/04/1997,,26,,Y,1 Crossing across Creek St Eastern Side,20/07/1987,Y,0:00:00,0:00:00,L,0,2,,1
10007,B0007,B,7,#N/A,7,153.028824,-27.464153,502845,6962147,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC City MUX Ann/George,N,NULL,0,ANN ST,WHARF ST,NULL,1,B,2,44,21/01/1960,25,T3/506,L,Y,Y,Y,Y,12/06/1996,,32,,N,Across Ann St Northern Side & Wharf St Eastern Side,21/07/1987,Y,0:00:00,0:00:00,L,0,3,,1
10008,B0008,B,8,#N/A,8,153.022795,-27.470148,502249,6961484,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC CBD Fibre Ring 1 to BSQ,N,NULL,0,ADELAIDE ST,GEORGE ST,NULL,1,B,2,12,1/03/1961,25,S507,L,Y,Y,Y,Y,25/03/1997,Y,8,,N,1 Crossing across Adelaide St Northern Side,1/09/1986,Y,1:00:00,1:00:00,L,0,2,,1
10009,B0009,B,9,#N/A,9,153.024494,-27.468857,502417,6961627,NULL,NULL,NULL,0,2,CITY,Y,1249568143,Dwell in Walk with No Dem & No Z1. Dwell in C Ph with No Dem &Z BCC City MUX Ann/George    SCATS not STREAMS PILOT,N,NULL,0,ADELAIDE ST PED @,ALBERT ST,NULL,1,B,2,20,15/08/1960,25,S431/3,L,Y,Y,Y,Y,17/04/1997,Y,14,,Y,Across Adelaide Northern Side & across Albert. A/T Off Spec Tim,1/09/1986,Y,1:00:00,1:00:00,L,0,3,,1
10010,B0010,B,10,#N/A,10,153.026174,-27.467512,502583,6961775,NULL,NULL,NULL,0,2,CITY,Y,1249568143,Scramble Ped . BCC City MUX Ann/George    SCATS not STREAMS PILOT,N,NULL,0,ADELAIDE ST,EDWARD ST,NULL,1,B,2,30,23/03/1960,25,S509/2,L,Y,Y,Y,Y,30/01/2000,Y,20,,Y,Scramble 8 Units,13/01/1988,Y,6:30:00,21:00:00,L,0,3,,1
10011,B0011,B,11,#N/A,11,153.027853,-27.466194,502749,6961921,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC City MUX Ann/George,N,NULL,0,ADELAIDE ST,CREEK ST,NULL,1,B,2,39,24/03/1960,25,S&W510/,L,Y,Y,Y,Y,17/04/1997,Y,27,,N,,25/02/1992,Y,0:00:00,0:00:00,L,0,3,,1
10012,B0012,B,12,#N/A,12,153.029542,-27.464903,502916,6962064,NULL,NULL,NULL,0,2,CITY,Y,1249568143,Yneg auto intro peds Pneg extends peds BCC City MUX Ann/George,N,NULL,0,ADELAIDE ST,WHARF ST,NULL,1,B,2,45,18/05/1973,25,T3&W/51,L,Y,Y,Y,Y,26/06/1996,,33,,N,Across Adelaide Southern Side & Wharf Eastern Side,16/08/1988,Y,0:00:00,0:00:00,L,0,4,,1
10013,B0013,B,13,#N/A,13,153.022714,-27.47152,502241,6961332,NULL,NULL,NULL,0,2,CITY,Y,1249568143,YNEG autointro Ped1 & Ped4. Gp6 red for 15 sec if P3 called. BCC City MUX Ann/George. 3sec AR all ph SCATS not STREAMS PILOT,N,NULL,0,QUEEN ST,WILLIAM ST,NORTH QUAY,1,B,2,5,25/08/1960,27,S255/4,L,Y,Y,Y,Y,31/10/2008,Y,3,,Y,Across William St & Queens Whf Rd,1/09/1986,Y,7:00:00,21:00:00,L,0,6,,1
10014,B0014,B,14,#N/A,14,153.023544,-27.470961,502323,6961394,NULL,NULL,NULL,0,2,CITY,Y,1249568143,BCC CBD Fibre Ring 1 to BSQ,N,NULL,0,QUEEN ST,GEORGE ST,NULL,1,B,2,13,5/05/1937,25,S439/3,L,Y,Y,Y,Y,25/03/1997,,9,,N,Across George  Eastern Side,1/09/1986,Y,0:00:00,24:00:00,L,0,2,,1
