sr no,origin,destination,Path,Weight,Travel time (min),Time of day ,Macid
1,10611,10828,"[10611,10489,10589,10423,10828]",1,6,1.18,11244366
2,10611,10828,"[10611,10489,10589,10423,10828]",1,59,8.16,6031109
3,10611,10828,"[10611,10489,10589,10423,10828]",1,30,15.08,8974995
4,10611,10828,"[10611,10489,10589,10423,10828]",1,12,14.38,10977684
5,10611,10828,"[10611,10489,10589,10423,10828]",1,10,6.8,3910470
6,10611,10828,"[10611,10489,10589,10423,10828]",1,10,6.8,7295980
7,10611,10828,"[10611,10489,10589,10423,10828]",1,13,16.05,5991505
8,10611,10828,"[10611,10489,10589,10423,10828]",1,10,7.11,6291943
9,10611,10828,"[10611,10489,10589,10423,10828]",1,27,7.3,9612323
10,10611,10828,"[10611,10489,10589,10423,10828]",1,9,7.43,2064941
11,10611,10828,"[10611,10489,10589,10423,10828]",1,27,15.3,7466864
12,10611,10828,"[10611,10489,10589,10423,10828]",1,10,7.55,10114480
13,10611,10828,"[10611,10489,10589,10423,10828]",1,38,16.43,3420729
14,10611,10828,"[10611,10489,10589,10423,10828]",1,28,9.71,5433333
15,10611,10828,"[10611,10489,10589,10423,10828]",1,10,9.83,9771261
16,10611,10828,"[10611,10489,10589,10423,10828]",1,18,13.88,3536860
17,10611,10828,"[10611,10489,10589,10423,10828]",1,15,11.6,8899254
18,10611,10828,"[10611,10489,10589,10423,10828]",1,50,11.63,11346918
19,10611,10828,"[10611,10489,10589,10423,10828]",1,17,12.33,23654
20,10611,10828,"[10611,10489,10589,10423,10828]",1,8,20.16,8882592
21,10611,10828,"[10611,10489,10589,10423,10828]",1,12,13.31,6298507
22,10611,10828,"[10611,10489,10589,10423,10828]",1,7,13.4,8406045
23,10611,10828,"[10611,10489,10589,10423,10828]",1,10,14.65,10959797
24,10611,10828,"[10611,10489,10589,10423,10828]",1,11,14.68,4031295
25,10611,10828,"[10611,10489,10589,10423,10828]",1,32,16.23,9971397
26,10611,10828,"[10611,10489,10589,10423,10828]",1,15,20.65,11350029
27,10611,10828,"[10611,10612,10589,10423,10828]",1,8,20.61,10879937
28,10611,10828,"[10611,10612,10589,10423,10828]",1,10,11.38,11027822
29,10611,10828,"[10611,10612,10589,10423,10828]",1,14,15.11,708052
30,10611,10828,"[10611,10612,10615,10488,10525,10828]",1,11,13.93,1314184
31,10611,10828,"[10611,10612,10589,10423,10828]",0.5,9.3,17.45,4094227
32,10611,10828,"[10611,10612,10589,10423,10828]",0.5,9.06,17.45,4094227
33,10611,10828,"[10611,10612,10589,10423,10828]",0.5,10.08,9.63,6064215
34,10611,10828,"[10611,10612,10589,10423,10828]",0.5,10.02,9.63,6064215
35,10611,10828,"[10611,10612,10615,10488,10525,10828]",0.5,15,7.45,9404271
36,10611,10828,"[10611,10612,10615,10488,10566,10828]",0.5,9.6,7.45,9404271
37,10611,10828,"[10611,10612,10615,10488,10525,10828]",0.5,11.5,15.36,9845963
38,10611,10828,"[10611,10612,10615,10488,10566,10828]",0.5,10.5,15.36,9845963
39,10611,10828,"[10611,10612,10615,10488,10525,10828]",0.5,9.3,17.28,26025
40,10611,10828,"[10611,10612,10615,10488,10566,10828]",0.5,10.14,17.28,26025
41,10611,10828,"[10611,10612,10615,10488,10525,10828]",0.5,9.3,17.28,4938354
42,10611,10828,"[10611,10612,10615,10488,10566,10828]",0.5,10.14,17.28,4938354
43,10611,10828,"[10611,10612,10615,10617,10568,10488,10525,10828]",0.5,9.9,13.93,1314184
44,10611,10828,"[10611,10612,10615,10488,10525,10828]",0.5,10.3,13.93,1314184
